,temp_avg,temp_max,temp_min,encode_state,Year,Month,Precipitation,Total_Suntime
161,59.09180069,73.39624023,45.17718124,0,1909,6,1.33110392,1601707
162,64.03488922,79.61379242,51.46228027,0,1909,7,2.168233467,1627997
163,64.19129181,76.94235992,49.76461029,0,1909,8,2.113567814,1525591
164,58.69534683,74.99235535,41.71260071,0,1909,9,1.477615727,1346372
165,45.24884796,56.20308685,30.53088379,0,1909,10,1.203594234,1249940
166,35.21120453,45.5801239,17.91460419,0,1909,11,1.223553767,1087721
167,25.10432053,34.9498558,10.78851509,0,1909,12,1.056102087,1059046
168,24.65422249,40.03484726,14.98129749,0,1910,1,1.144348884,1090996
169,26.89252472,36.13323975,13.91233158,0,1910,2,1.116512407,1079297
170,34.78625488,43.73199081,19.77391052,0,1910,3,1.326066014,1329934
171,44.03844452,50.89901352,26.6235466,0,1910,4,1.721723462,1423870
172,52.22694778,62.48159027,34.64172745,0,1910,5,1.990838585,1591787
173,60.95011139,76.63536835,45.96670532,0,1910,6,1.263189261,1601563
174,65.69033813,82.44490814,54.17625427,0,1910,7,2.189781327,1628557
175,65.51663971,79.0453949,53.08188248,0,1910,8,2.125665711,1526572
176,55.67405319,69.65148926,42.38126755,0,1910,9,1.48590466,1347451
177,45.56090546,61.67381287,33.47387314,0,1910,10,1.486026696,1251026
178,27.51227188,45.23933029,22.83441925,0,1910,11,1.109129893,1088508
179,22.13973045,26.93177414,7.647096634,0,1910,12,0.959725218,1059195
180,23.49565125,34.63658905,10.87582588,0,1911,1,1.105439523,1090362
181,26.50474167,36.99188232,12.3358326,0,1911,2,1.180078518,1078358
182,22.04980087,59.15749741,25.7273941,0,1911,3,1.299685486,1328796
183,42.17286301,60.6121788,29.95594788,0,1911,4,1.621463768,1422834
184,51.3110199,65.73722839,36.65499496,0,1911,5,1.797303395,1591009
185,58.28054428,78.4888916,45.7833519,0,1911,6,1.570374062,1601411
186,64.98348999,83.35720062,51.90742111,0,1911,7,2.435279971,1629109
187,65.40614319,79.96823883,49.95294189,0,1911,8,1.908562643,1527548
188,54.37635803,76.53601074,45.781147,0,1911,9,1.518810438,1348528
189,44.76904678,62.94760132,32.87590408,0,1911,10,1.366183416,1252113
190,33.46287537,51.34547424,25.19202423,0,1911,11,1.144072142,1089298
191,23.66155624,40.20132446,15.347826,0,1911,12,1.004199224,1059352
192,19.12561035,43.49315262,17.13374901,0,1912,1,1.031553265,1089802
193,26.0210762,38.2004776,14.16781521,0,1912,2,1.117254166,1117974
194,34.18513107,50.24803162,25.61651802,0,1912,3,1.797375611,1332372
195,41.17520523,57.32274628,31.06423187,0,1912,4,1.964023604,1426102
196,49.21483612,68.27735901,38.25770569,0,1912,5,1.742795703,1593472
197,61.00758362,78.18478394,47.86439514,0,1912,6,2.155414718,1601899
198,63.11756134,77.52185822,51.34275818,0,1912,7,2.451241967,1627371
199,64.60523224,78.76641846,48.86294937,0,1912,8,1.866795811,1524471
200,55.36540985,75.20850372,46.37675858,0,1912,9,1.548978463,1345133
201,43.77872849,56.2202034,29.60652924,0,1912,10,1.652429163,1248687
202,33.58123398,45.62745285,15.55328274,0,1912,11,1.105267681,1086808
203,24.14189148,33.31253052,7.437020302,0,1912,12,0.988980319,1058859
204,24.93428421,34.00148773,9.096458435,0,1913,1,0.973811172,1091703
205,27.28191948,38.13755035,14.05089474,0,1913,2,1.127581708,1080362
206,32.74393082,42.14702606,16.08705902,0,1913,3,1.208379753,1331237
207,41.93123627,51.88871765,26.15748024,0,1913,4,1.699742788,1425069
208,51.97109985,63.96110916,37.81492233,0,1913,5,2.004332359,1592698
209,61.44461441,72.20235443,44.18202209,0,1913,6,1.646954972,1601752
210,63.45449448,78.98429108,50.71910477,0,1913,7,2.278432751,1627926
211,64.16462708,77.16957855,49.44693756,0,1913,8,1.838656507,1525445
212,58.42150879,64.7480011,38.46330643,0,1913,9,1.597275058,1346207
213,44.68804169,56.00926208,30.86877823,0,1913,10,1.169481056,1249772
214,35.20959854,47.19293594,20.7563591,0,1913,11,1.015640111,1087596
215,24.85388184,33.91643524,10.1042347,0,1913,12,1.472968731,1059010
216,26.49236107,32.56192398,7.379835129,0,1914,1,1.230869007,1091074
217,31.17273521,33.62342072,9.123188972,0,1914,2,1.102373808,1079427
218,34.17325592,45.22160721,18.2055397,0,1914,3,1.176903332,1330102
219,42.42700195,56.07210922,30.66728592,0,1914,4,2.199529627,1424033
