,Year,Month,encode_state,forecast,Precipitation,Total_Suntime
73,2023.0,2.0,6.0,43.52121353149414,1.5835892570604486,1137595.0
74,2023.0,3.0,6.0,55.19104766845703,2.1618561025137866,1337870.0
75,2023.0,4.0,6.0,64.17786407470703,3.2723438411217405,1415555.0
76,2023.0,5.0,6.0,71.42571258544922,4.590742684886822,1567407.0
77,2023.0,6.0,6.0,78.58694458007812,4.47105998218274,1567356.0
78,2023.0,7.0,6.0,83.58441925048828,2.8672540010716694,1592973.0
79,2023.0,8.0,6.0,83.90116882324219,2.6589126432420933,1501171.0
80,2023.0,9.0,6.0,78.45667266845703,3.0364452107049793,1337190.0
81,2023.0,10.0,6.0,68.82684326171875,2.0514600178991493,1255642.0
82,2023.0,11.0,6.0,55.14209747314453,1.667181326464116,1109682.0
83,2023.0,12.0,6.0,43.05595397949219,1.4076306942139618,1092517.0
