,Precipitation,encode_state,Year,Month
2268,0.98911078,0,1917,1
2269,1.123464268,0,1917,2
2270,1.571709128,0,1917,3
2271,1.66172216,0,1917,4
2272,2.327995056,0,1917,5
2273,1.003540163,0,1917,6
2274,1.976736266,0,1917,7
2275,2.031889648,0,1917,8
2276,1.407686246,0,1917,9
2277,1.019072443,0,1917,10
2278,0.933902449,0,1917,11
2279,1.041833376,0,1917,12
2376,1.215368288,0,1918,1
2377,1.139557636,0,1918,2
2378,1.340277158,0,1918,3
2379,1.800684064,0,1918,4
2380,1.731128278,0,1918,5
2381,1.286824432,0,1918,6
2382,2.004673918,0,1918,7
2383,2.130714529,0,1918,8
2384,1.545238868,0,1918,9
2385,1.450304461,0,1918,10
2386,1.167845971,0,1918,11
2387,1.153165869,0,1918,12
2484,0.753070903,0,1919,1
2485,1.126161299,0,1919,2
2486,1.554547487,0,1919,3
2487,1.846289172,0,1919,4
2488,1.696123528,0,1919,5
2489,1.651646759,0,1919,6
2490,2.304300173,0,1919,7
2491,1.775262684,0,1919,8
2492,1.780625146,0,1919,9
2493,1.343271615,0,1919,10
2494,1.251240393,0,1919,11
2495,1.02613542,0,1919,12
2592,0.89160064,0,1920,1
2593,1.108253808,0,1920,2
2594,1.535381216,0,1920,3
2595,2.12313842,0,1920,4
2596,2.175840129,0,1920,5
2597,1.499807801,0,1920,6
2598,1.965073578,0,1920,7
2599,2.128282418,0,1920,8
2600,1.520131705,0,1920,9
2601,1.40136451,0,1920,10
2602,1.253684627,0,1920,11
2603,1.018182355,0,1920,12
2700,1.006376011,0,1921,1
2701,1.103350188,0,1921,2
2702,1.378773622,0,1921,3
2703,2.009095106,0,1921,4
2704,2.063407838,0,1921,5
2705,2.08942946,0,1921,6
2706,2.118654774,0,1921,7
2707,2.526368541,0,1921,8
2708,1.289708229,0,1921,9
2709,1.138573261,0,1921,10
2710,0.99925864,0,1921,11
2711,1.100179293,0,1921,12
2808,1.123452975,0,1922,1
2809,1.17459117,0,1922,2
2810,1.843289089,0,1922,3
2811,1.803518224,0,1922,4
2812,2.013919074,0,1922,5
2813,2.052063926,0,1922,6
2814,2.131960644,0,1922,7
2815,1.85430862,0,1922,8
2816,1.255493771,0,1922,9
2817,1.160848642,0,1922,10
2818,1.239938603,0,1922,11
2819,1.040355281,0,1922,12
2916,1.077309168,0,1923,1
2917,1.116512407,0,1923,2
2918,1.520536026,0,1923,3
2919,1.788500042,0,1923,4
2920,2.004008296,0,1923,5
2921,1.85913437,0,1923,6
2922,2.293046746,0,1923,7
